Speed,Steering,HR,Hour,Minute,Second,Millisecond,Flag
45,0,90,0,0,0,0,
45,0,90,0,0,0,100,
45,0,90,0,0,0,200,
45,0,90,0,0,0,300,
45,0,90,0,0,0,400,
45,0,90,0,0,0,500,
45,0,90,0,0,0,600,
45,0,90,0,0,0,700,
45,0,90,0,0,0,800,
45,0,90,0,0,0,900,
45,0,90,0,0,1,0,
45,0,90,0,0,1,100,
45,0,90,0,0,1,200,
45,0,90,0,0,1,300,
45,0,90,0,0,1,400,
45,0,90,0,0,1,500,
45,0,90,0,0,1,600,
45,0,90,0,0,1,700,
45,0,90,0,0,1,800,
45,0,90,0,0,1,900,
45,0,90,0,0,2,0,
45,0,90,0,0,2,100,
45,0,90,0,0,2,200,
45,0,90,0,0,2,300,
45,0,90,0,0,2,400,
45,0,90,0,0,2,500,
45,0,90,0,0,2,600,
45,0,90,0,0,2,700,
45,0,90,0,0,2,800,
45,0,90,0,0,2,900,
45,0,90,0,0,3,0,
45,0,90,0,0,3,100,
45,0,90,0,0,3,200,
45,0,90,0,0,3,300,
45,0,90,0,0,3,400,
45,0,90,0,0,3,500,
45,0,90,0,0,3,600,
45,0,90,0,0,3,700,
45,0,90,0,0,3,800,
45,0,90,0,0,3,900,
45,0,90,0,0,4,0,
45,0,90,0,0,4,100,
45,0,90,0,0,4,200,
45,0,90,0,0,4,300,
45,0,90,0,0,4,400,
45,0,90,0,0,4,500,
45,0,90,0,0,4,600,
45,0,90,0,0,4,700,
45,0,90,0,0,4,800,
45,0,90,0,0,4,900,
45,0,90,0,0,5,0,
45,0,90,0,0,5,100,
45,0,90,0,0,5,200,
45,0,90,0,0,5,300,
45,0,90,0,0,5,400,
45,0,90,0,0,5,500,
45,0,90,0,0,5,600,
45,0,90,0,0,5,700,
45,0,90,0,0,5,800,
45,0,90,0,0,5,900,
45,0,90,0,0,6,0,
45,0,90,0,0,6,100,
45,0,90,0,0,6,200,
45,0,90,0,0,6,300,
45,0,90,0,0,6,400,
45,0,90,0,0,6,500,
45,0,90,0,0,6,600,
45,0,90,0,0,6,700,
